Ticket,Open Time,Type,Size,Symbol,Price,S/L,T/P,Close Time,Close Price,Commission,Swap,Profit
12345678,2024.01.15 10:30:00,buy,0.10,EURUSD,1.08500,1.08200,1.09000,2024.01.15 14:45:00,1.08850,0.00,-0.50,35.00
12345679,2024.01.15 11:15:00,sell,0.20,GBPUSD,1.27200,1.27500,1.26800,2024.01.15 16:30:00,1.26950,0.00,-0.80,50.00
12345680,2024.01.16 09:00:00,buy,0.15,USDJPY,148.500,148.200,149.000,2024.01.16 12:00:00,148.150,0.00,-0.30,-52.50
12345681,2024.01.16 14:30:00,sell,0.10,EURUSD,1.08650,1.08900,1.08300,2024.01.16 17:45:00,1.08400,0.00,0.00,25.00
12345682,2024.01.17 08:45:00,buy,0.25,XAUUSD,2025.50,2020.00,2035.00,2024.01.17 11:30:00,2032.80,0.00,-1.20,182.50
12345683,2024.01.17 13:00:00,sell,0.10,GBPJPY,188.250,188.600,187.800,2024.01.17 15:15:00,187.950,0.00,-0.40,30.00
12345684,2024.01.18 10:15:00,buy,0.20,EURUSD,1.08720,1.08450,1.09100,2024.01.18 14:00:00,1.08520,0.00,-0.60,-40.00
12345685,2024.01.18 15:30:00,sell,0.15,USDJPY,148.850,149.100,148.400,2024.01.18 18:45:00,148.550,0.00,-0.50,45.00
12345686,2024.01.19 09:30:00,buy,0.10,XAUUSD,2028.00,2023.50,2038.00,2024.01.19 12:15:00,2035.50,0.00,-0.80,75.00
12345687,2024.01.19 14:00:00,buy,0.20,EURUSD,1.08900,1.08600,1.09300,2024.01.19 16:30:00,1.09150,0.00,-0.40,50.00

