Date,Contract,B/S,Qty,Price,P&L,Cumulative P&L,Commission
2024-01-15 10:30:00,ESH4,Buy,1,4850.25,,,
2024-01-15 11:45:00,ESH4,Sell,1,4855.50,262.50,262.50,4.04
2024-01-15 13:00:00,ESH4,Sell,2,4860.00,,,
2024-01-15 14:30:00,ESH4,Buy,2,4852.25,387.50,650.00,8.08
2024-01-15 15:00:00,NQH4,Buy,1,17250.00,,,
2024-01-15 15:45:00,NQH4,Sell,1,17235.50,-290.00,360.00,4.04
2024-01-16 09:35:00,ESH4,Buy,1,4845.00,,,
2024-01-16 11:00:00,ESH4,Sell,1,4858.75,687.50,1047.50,4.04
2024-01-16 12:30:00,MESH4,Buy,5,4848.50,,,
2024-01-16 13:15:00,MESH4,Sell,5,4851.25,68.75,1116.25,2.50
2024-01-16 14:00:00,ESH4,Sell,1,4862.50,,,
2024-01-16 14:45:00,ESH4,Buy,1,4868.25,-287.50,828.75,4.04
2024-01-17 10:00:00,NQH4,Buy,1,17320.00,,,
2024-01-17 12:30:00,NQH4,Sell,1,17385.50,1310.00,2138.75,4.04
2024-01-17 13:30:00,ESH4,Buy,2,4855.25,,,
2024-01-17 15:00:00,ESH4,Sell,2,4862.00,675.00,2813.75,8.08
2024-01-18 09:45:00,MNQH4,Sell,2,17400.00,,,
2024-01-18 10:30:00,MNQH4,Buy,2,17385.75,57.00,2870.75,1.50
2024-01-18 11:00:00,ESH4,Buy,1,4870.00,,,
2024-01-18 14:00:00,ESH4,Sell,1,4885.25,762.50,3633.25,4.04




